================================================================================
                          实验结果报告
================================================================================
算法名称: PSO粒子群算法
实验次数: 第 4 次
实验时间: 2025-12-22 14:24:19

【参数配置】
PSOParameters{
  swarmSize=100, w=0.70, c1=1.50, c2=1.50
  maxStagnantStep=30000 (早停阈值), maxRunTime=3.0分钟
}

================================================================================
                        PSO算法开始运行
================================================================================
粒子群大小: 100
惯性权重 w: 0.7
个体学习因子 c1: 1.5
社会学习因子 c2: 1.5
最大停滞步数: 30000
最大运行时间: 3.0 分钟
================================================================================

[初始化] 生成初始粒子群...
[初始化] 初始最优 Makespan: 36277.83

开始迭代优化...

代数 2260 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 866
代数 2270 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 876
代数 2280 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 886
代数 2290 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 896
代数 2300 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 906
代数 2310 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 916
代数 2320 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 926
代数 2330 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 936
代数 2340 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 946
代数 2350 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 956
代数 2360 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 966
代数 2370 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 976
代数 2380 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 986
代数 2390 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 996
代数 2400 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1006
代数 2410 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1016
代数 2420 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1026
代数 2430 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1036
代数 2440 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1046
代数 2450 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1056
代数 2460 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1066
代数 2470 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1076
代数 2480 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1086
代数 2490 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1096
代数 2500 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1106
代数 2510 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1116
代数 2520 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1126
代数 2530 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1136
代数 2540 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1146
代数 2550 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1156
代数 2560 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1166
代数 2570 | 最优 Makespan: 34482.68 | 改进: +0.00% | 停滞: 1176
