================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 3 次
实验时间: 2025-12-21 20:06:32

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 50个零件, 3台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 71964.44
初始种群平均解: Makespan = 93253.29

Gen 5850 | 最优: 57140.18 | 平均: 81754.12 | 改进: 0.00 | 停滞: 5128/300000 | 耗时: 2.3分钟
Gen 5900 | 最优: 57140.18 | 平均: 82549.30 | 改进: 0.00 | 停滞: 5178/300000 | 耗时: 2.3分钟
Gen 5950 | 最优: 57140.18 | 平均: 82545.41 | 改进: 0.00 | 停滞: 5228/300000 | 耗时: 2.4分钟
Gen 6000 | 最优: 57140.18 | 平均: 82180.89 | 改进: 0.00 | 停滞: 5278/300000 | 耗时: 2.4分钟
Gen 6050 | 最优: 57140.18 | 平均: 83050.35 | 改进: 0.00 | 停滞: 5328/300000 | 耗时: 2.4分钟
Gen 6100 | 最优: 57118.39 | 平均: 81152.35 | 改进: 21.79 | 停滞: 19/300000 | 耗时: 2.4分钟
Gen 6150 | 最优: 57118.39 | 平均: 82316.66 | 改进: 0.00 | 停滞: 69/300000 | 耗时: 2.4分钟
Gen 6200 | 最优: 57118.39 | 平均: 83165.47 | 改进: 0.00 | 停滞: 119/300000 | 耗时: 2.4分钟
Gen 6250 | 最优: 57118.39 | 平均: 81322.58 | 改进: 0.00 | 停滞: 169/300000 | 耗时: 2.5分钟
Gen 6300 | 最优: 57118.39 | 平均: 82983.55 | 改进: 0.00 | 停滞: 219/300000 | 耗时: 2.5分钟
Gen 6350 | 最优: 57118.39 | 平均: 81504.07 | 改进: 0.00 | 停滞: 269/300000 | 耗时: 2.5分钟
Gen 6400 | 最优: 57118.39 | 平均: 81872.24 | 改进: 0.00 | 停滞: 319/300000 | 耗时: 2.5分钟
Gen 6450 | 最优: 57118.39 | 平均: 81839.69 | 改进: 0.00 | 停滞: 369/300000 | 耗时: 2.5分钟
Gen 6500 | 最优: 57118.39 | 平均: 82055.83 | 改进: 0.00 | 停滞: 419/300000 | 耗时: 2.6分钟
Gen 6550 | 最优: 57118.39 | 平均: 82191.91 | 改进: 0.00 | 停滞: 469/300000 | 耗时: 2.6分钟
Gen 6600 | 最优: 57118.39 | 平均: 81037.03 | 改进: 0.00 | 停滞: 519/300000 | 耗时: 2.6分钟
Gen 6650 | 最优: 57118.39 | 平均: 81456.91 | 改进: 0.00 | 停滞: 569/300000 | 耗时: 2.6分钟
Gen 6700 | 最优: 57118.39 | 平均: 81750.23 | 改进: 0.00 | 停滞: 619/300000 | 耗时: 2.6分钟
Gen 6750 | 最优: 57118.39 | 平均: 81837.78 | 改进: 0.00 | 停滞: 669/300000 | 耗时: 2.7分钟
Gen 6800 | 最优: 57118.39 | 平均: 83266.49 | 改进: 0.00 | 停滞: 719/300000 | 耗时: 2.7分钟
Gen 6850 | 最优: 57118.39 | 平均: 82941.71 | 改进: 0.00 | 停滞: 769/300000 | 耗时: 2.7分钟
Gen 6900 | 最优: 57118.39 | 平均: 81757.61 | 改进: 0.00 | 停滞: 819/300000 | 耗时: 2.7分钟
Gen 6950 | 最优: 57118.39 | 平均: 82454.48 | 改进: 0.00 | 停滞: 869/300000 | 耗时: 2.7分钟
Gen 7000 | 最优: 57118.39 | 平均: 83066.55 | 改进: 0.00 | 停滞: 919/300000 | 耗时: 2.7分钟
Gen 7050 | 最优: 57118.39 | 平均: 82635.94 | 改进: 0.00 | 停滞: 969/300000 | 耗时: 2.8分钟
Gen 7100 | 最优: 57118.39 | 平均: 82471.71 | 改进: 0.00 | 停滞: 1019/300000 | 耗时: 2.8分钟
Gen 7150 | 最优: 57118.39 | 平均: 82243.72 | 改进: 0.00 | 停滞: 1069/300000 | 耗时: 2.8分钟
Gen 7200 | 最优: 57118.39 | 平均: 81179.36 | 改进: 0.00 | 停滞: 1119/300000 | 耗时: 2.8分钟
Gen 7250 | 最优: 57118.39 | 平均: 81820.47 | 改进: 0.00 | 停滞: 1169/300000 | 耗时: 2.8分钟
Gen 7300 | 最优: 57118.39 | 平均: 82918.72 | 改进: 0.00 | 停滞: 1219/300000 | 耗时: 2.9分钟
Gen 7350 | 最优: 57118.39 | 平均: 81871.40 | 改进: 0.00 | 停滞: 1269/300000 | 耗时: 2.9分钟
Gen 7400 | 最优: 57118.39 | 平均: 82313.98 | 改进: 0.00 | 停滞: 1319/300000 | 耗时: 2.9分钟
Gen 7450 | 最优: 57118.39 | 平均: 81835.05 | 改进: 0.00 | 停滞: 1369/300000 | 耗时: 2.9分钟
Gen 7500 | 最优: 57118.39 | 平均: 81193.48 | 改进: 0.00 | 停滞: 1419/300000 | 耗时: 2.9分钟
Gen 7550 | 最优: 57118.39 | 平均: 81612.27 | 改进: 0.00 | 停滞: 1469/300000 | 耗时: 2.9分钟
Gen 7600 | 最优: 57118.39 | 平均: 81909.12 | 改进: 0.00 | 停滞: 1519/300000 | 耗时: 3.0分钟
Gen 7650 | 最优: 57118.39 | 平均: 81453.23 | 改进: 0.00 | 停滞: 1569/300000 | 耗时: 3.0分钟

达到时间限制(3.0分钟)，算法终止。

========== 随机密钥遗传算法结束 ==========
终止原因: 达到时间限制(3.0分钟)
总迭代次数: 7683
最优Makespan: 57118.39
总耗时: 180.02秒 (3.00分钟)
==========================================


========== 迭代曲线数据 ==========
Gen 0: 71964.43835616439
Gen 1: 71753.0
Gen 2: 63938.66666666667
Gen 3: 63938.66666666667
Gen 4: 63938.66666666667
Gen 5: 63287.66666666667
Gen 6: 63287.66666666667
Gen 7: 61425.333333333336
Gen 8: 61425.333333333336
Gen 9: 61425.333333333336
Gen 10: 61425.333333333336
Gen 11: 61425.333333333336
Gen 12: 61425.333333333336
Gen 13: 61425.333333333336
Gen 14: 61425.333333333336
Gen 15: 61425.333333333336
Gen 16: 61425.333333333336
Gen 17: 61425.333333333336
Gen 18: 61425.333333333336
Gen 19: 60417.65217391305
Gen 20: 60417.65217391305
Gen 21: 60417.65217391305
Gen 22: 60417.65217391305
Gen 23: 60417.65217391305
Gen 24: 60417.65217391305
Gen 25: 60417.65217391305
Gen 26: 60417.65217391305
Gen 27: 60417.65217391305
Gen 28: 60417.65217391305
Gen 29: 60417.65217391305
Gen 30: 60417.65217391305
Gen 31: 60417.65217391305
Gen 32: 60417.65217391305
Gen 33: 60417.65217391305
Gen 34: 60417.65217391305
Gen 35: 60417.65217391305
Gen 36: 60417.65217391305
Gen 37: 60417.65217391305
Gen 38: 60417.65217391305
Gen 39: 60417.65217391305
Gen 40: 60417.65217391305
Gen 41: 60417.65217391305
Gen 42: 60417.65217391305
Gen 43: 60417.65217391305
Gen 44: 60417.65217391305
Gen 45: 60417.65217391305
Gen 46: 60417.65217391305
Gen 47: 60417.65217391305
Gen 48: 60417.65217391305
Gen 49: 60417.65217391305
Gen 50: 60417.65217391305
Gen 51: 60417.65217391305
Gen 52: 60417.65217391305
Gen 53: 60302.30136986302
Gen 54: 60302.30136986302
Gen 55: 60302.30136986302
Gen 56: 60302.30136986302
Gen 57: 60302.30136986302
Gen 58: 60302.30136986302
Gen 59: 60302.30136986302
Gen 60: 60302.30136986302
Gen 61: 60302.30136986302
Gen 62: 60302.30136986302
Gen 63: 60302.30136986302
Gen 64: 60302.30136986302
Gen 65: 60302.30136986302
Gen 66: 60302.30136986302
Gen 67: 60302.30136986302
Gen 68: 60302.30136986302
Gen 69: 59181.30434782609
Gen 70: 59181.30434782609
Gen 71: 59181.30434782609
Gen 72: 59181.30434782609
Gen 73: 59181.30434782609
Gen 74: 59181.30434782609
Gen 75: 59181.30434782609
Gen 76: 59181.30434782609
Gen 77: 59181.30434782609
Gen 78: 59181.30434782609
Gen 79: 59181.30434782609
Gen 80: 59181.30434782609
Gen 81: 59181.30434782609
Gen 82: 59181.30434782609
Gen 83: 59181.30434782609
Gen 84: 59181.30434782609
Gen 85: 59181.30434782609
Gen 86: 59181.30434782609
Gen 87: 59181.30434782609
Gen 88: 59181.30434782609
Gen 89: 59181.30434782609
Gen 90: 59181.30434782609
Gen 91: 59181.30434782609
Gen 92: 59181.30434782609
Gen 93: 59181.30434782609
Gen 94: 59181.30434782609
Gen 95: 59181.30434782609
Gen 96: 59181.30434782609
Gen 97: 59181.30434782609
Gen 98: 59181.30434782609
Gen 99: 59181.30434782609
Gen 100: 59181.30434782609
Gen 101: 59181.30434782609
Gen 102: 59181.30434782609
Gen 103: 59181.30434782609
